DBN,Borough,Borough_Cnt,District,School_Num,School,Grade,Year,Category,Headcount,Lvl_1_Cnt,Lvl_1_Pct,Lvl_2_Cnt,Lvl_2_Pct,Lvl_3_Cnt,Lvl_3_Pct,Lvl_4_Cnt,Lvl_4_Pct,Lvl_Pass_Cnt,Lvl_Pass_Pct
32K383,BROOKLYN,453000,32,383,J.H.S. 383 PHILIPPA SCHUYLER,8,2016,All Students,264,6,2.3,82,31.1,109,41.3,67,25.4,176,66.7
32K377,BROOKLYN,115481,32,377,P.S. 377 ALEJANDRINA B. DE GAUTIER,8,2013,All Students,73,33,45.2,36,49.3,4,5.5,0,0,4,5.5
32K377,BROOKLYN,114815,32,377,P.S. 377 ALEJANDRINA B. DE GAUTIER,8,2014,All Students,67,30,44.8,34,50.7,3,4.5,0,0,3,4.5
32K377,BROOKLYN,111861,32,377,P.S. 377 ALEJANDRINA B. DE GAUTIER,8,2015,All Students,52,25,48.1,22,42.3,5,9.6,0,0,5,9.6
32K377,BROOKLYN,453000,32,377,P.S. 377 ALEJANDRINA B. DE GAUTIER,8,2016,All Students,51,14,27.5,31,60.8,6,11.8,0,0,6,11.8
32K349,BROOKLYN,115481,32,349,"I.S. 349 MATH, SCIENCE & TECH.",8,2013,All Students,159,80,50.3,62,39,16,10.1,1,0.6,17,10.7
32K349,BROOKLYN,114815,32,349,"I.S. 349 MATH, SCIENCE & TECH.",8,2014,All Students,126,65,51.6,48,38.1,12,9.5,1,0.8,13,10.3
32K349,BROOKLYN,111861,32,349,"I.S. 349 MATH, SCIENCE & TECH.",8,2015,All Students,123,54,43.9,52,42.3,16,13,1,0.8,17,13.8
32K349,BROOKLYN,453000,32,349,"I.S. 349 MATH, SCIENCE & TECH.",8,2016,All Students,110,37,33.6,48,43.6,23,20.9,2,1.8,25,22.7
32K347,BROOKLYN,115481,32,347,I.S. 347 SCHOOL OF HUMANITIES,8,2013,All Students,120,83,69.2,33,27.5,4,3.3,0,0,4,3.3
32K347,BROOKLYN,114815,32,347,I.S. 347 SCHOOL OF HUMANITIES,8,2014,All Students,144,69,47.9,59,41,12,8.3,4,2.8,16,11.1
32K347,BROOKLYN,111861,32,347,I.S. 347 SCHOOL OF HUMANITIES,8,2015,All Students,106,38,35.8,52,49.1,14,13.2,2,1.9,16,15.1
32K347,BROOKLYN,453000,32,347,I.S. 347 SCHOOL OF HUMANITIES,8,2016,All Students,106,33,31.1,43,40.6,27,25.5,3,2.8,30,28.3
32K291,BROOKLYN,115481,32,291,J.H.S. 291 ROLAND HAYES,8,2013,All Students,184,121,65.8,54,29.3,8,4.3,1,0.5,9,4.9
32K291,BROOKLYN,114815,32,291,J.H.S. 291 ROLAND HAYES,8,2014,All Students,192,99,51.6,81,42.2,11,5.7,1,0.5,12,6.3
32K291,BROOKLYN,111861,32,291,J.H.S. 291 ROLAND HAYES,8,2015,All Students,148,70,47.3,56,37.8,19,12.8,3,2,22,14.9
32K291,BROOKLYN,453000,32,291,J.H.S. 291 ROLAND HAYES,8,2016,All Students,119,55,46.2,54,45.4,9,7.6,1,0.8,10,8.4
32K162,BROOKLYN,115481,32,162,J.H.S. 162 THE WILLOUGHBY,8,2013,All Students,195,99,50.8,76,39,16,8.2,4,2.1,20,10.3
32K162,BROOKLYN,114815,32,162,J.H.S. 162 THE WILLOUGHBY,8,2014,All Students,134,59,44,55,41,18,13.4,2,1.5,20,14.9
32K162,BROOKLYN,111861,32,162,J.H.S. 162 THE WILLOUGHBY,8,2015,All Students,150,59,39.3,72,48,17,11.3,2,1.3,19,12.7
32K162,BROOKLYN,453000,32,162,J.H.S. 162 THE WILLOUGHBY,8,2016,All Students,153,44,28.8,66,43.1,32,20.9,11,7.2,43,28.1
32K045,BROOKLYN,114815,32,45,P.S./I.S. 045 HORACE E. GREENE,8,2014,All Students,51,11,21.6,35,68.6,4,7.8,1,2,5,9.8
32K045,BROOKLYN,111861,32,45,P.S./I.S. 045 HORACE E. GREENE,8,2015,All Students,62,8,12.9,37,59.7,15,24.2,2,3.2,17,27.4
32K045,BROOKLYN,453000,32,45,P.S./I.S. 045 HORACE E. GREENE,8,2016,All Students,56,11,19.6,26,46.4,13,23.2,6,10.7,19,33.9
31R861,STATEN ISLAND,25700,31,861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,8,2013,All Students,134,18,13.4,58,43.3,45,33.6,13,9.7,58,43.3
31R861,STATEN ISLAND,25736,31,861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,8,2014,All Students,103,26,25.2,50,48.5,22,21.4,5,4.9,27,26.2
31R861,STATEN ISLAND,25571,31,861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,8,2015,All Students,94,12,12.8,25,26.6,47,50,10,10.6,57,60.6
31R861,STATEN ISLAND,25561,31,861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,8,2016,All Students,95,9,9.5,26,27.4,40,42.1,20,21.1,60,63.2
31R080,STATEN ISLAND,25700,31,80,THE MICHAEL J. PETRIDES SCHOOL,8,2013,All Students,94,20,21.3,39,41.5,25,26.6,10,10.6,35,37.2
31R080,STATEN ISLAND,25736,31,80,THE MICHAEL J. PETRIDES SCHOOL,8,2014,All Students,95,18,18.9,35,36.8,35,36.8,7,7.4,42,44.2
31R080,STATEN ISLAND,25571,31,80,THE MICHAEL J. PETRIDES SCHOOL,8,2015,All Students,93,7,7.5,36,38.7,42,45.2,8,8.6,50,53.8
31R080,STATEN ISLAND,25561,31,80,THE MICHAEL J. PETRIDES SCHOOL,8,2016,All Students,91,11,12.1,30,33,36,39.6,14,15.4,50,54.9
31R075,STATEN ISLAND,25700,31,75,I.S. 075 FRANK D. PAULO,8,2013,All Students,435,53,12.2,190,43.7,130,29.9,62,14.3,192,44.1
31R075,STATEN ISLAND,25736,31,75,I.S. 075 FRANK D. PAULO,8,2014,All Students,477,64,13.4,189,39.6,154,32.3,70,14.7,224,47
31R075,STATEN ISLAND,25571,31,75,I.S. 075 FRANK D. PAULO,8,2015,All Students,377,25,6.6,120,31.8,142,37.7,90,23.9,232,61.5
31R075,STATEN ISLAND,25561,31,75,I.S. 075 FRANK D. PAULO,8,2016,All Students,440,38,8.6,145,33,156,35.5,101,23,257,58.4
